Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
6cf51492-02a2-423e-b93d-676f05b9ad53,7c202b37-2add-44e8-9aea-d5b119aea935,Charged Off,12232,Short Term,7280,< 1 year,Rent,46643,Debt Consolidation,777.39,18,10,12,0,6762,7946,0,0
552e7ade-4292-4354-9ff9-c48031697d72,e7217b0a-07ac-47dd-b379-577b5a35b7c6,Charged Off,25014,Long Term,7330,10+ years,Home Mortgage,81099,Debt Consolidation,892.09,26.7,NA,14,0,35706,77961,0,0
9b5e32b3-8d76-4801-afc8-d729d5a2e6b9,0a62fc41-16c8-40b5-92ff-9e4b763ce714,Charged Off,16117,Short Term,7240,9 years,Home Mortgage,60438,Home Improvements,1244.02,16.7,32,11,1,11275,14815,1,0
5419b7c7-ac11-4be2-a8a7-b131fb6d6dbe,30f36c59-5182-4482-8bbb-5b736849ae43,Charged Off,11716,Short Term,7400,3 years,Rent,34171,Debt Consolidation,990.94,10,NA,21,0,7009,43533,0,0
1450910f-9495-4fc9-afaf-9bdf4b9821df,70c26012-bba5-42c0-8dcb-75295ada31bb,Charged Off,9789,Long Term,6860,10+ years,Home Mortgage,47003,Home Improvements,503.71,16.7,25,13,1,16913,19553,1,0
7e9f6759-6a13-48ef-adfa-ef9fbcfcfcc8,05301ee5-29ec-48b6-b3e5-0813ea25d684,Charged Off,11911,Short Term,7420,2 years,Home Mortgage,70475,other,886.81,17.7,NA,13,0,28212,59897,0,0
c2b0aa3e-555b-441b-a4aa-e0e4a52c87d3,db3e74ec-2123-4608-be8d-a93e98cabfcf,Charged Off,28988,Short Term,7420,3 years,Home Mortgage,58074,Debt Consolidation,871.11,22.8,NA,9,0,14423,54018,0,0
233e0119-6dfe-47c0-a212-b4cc00371c8d,def66e46-951e-4bff-bf96-87ae6e092e19,Charged Off,17705,Long Term,6630,3 years,Own Home,49180,Debt Consolidation,274.59,30.2,NA,10,1,4252,25012,1,0
fc9d109b-15c2-4fe3-b7d8-27610b89f80b,f54c53e4-acd7-4e29-8f55-d2a247a4b62a,Charged Off,16812,Short Term,7360,7 years,Rent,50945,Debt Consolidation,590.12,14.6,NA,9,0,12903,15379,0,0
35ee60ed-df2d-4d3a-98ba-03d944d65c74,93cbb4b9-4e88-4b93-8beb-a2a00d415cd5,Charged Off,9796,Long Term,6720,< 1 year,Rent,58776,Debt Consolidation,666.13,9.4,17,12,0,4939,15198,0,0
9634dd33-b16d-49f8-b9f6-2d9e1578798c,0d82eca5-ee60-4ebe-8387-54f1153a326f,Charged Off,19838,Long Term,7010,6 years,Home Mortgage,79352,Debt Consolidation,$1051.41,14.3,6,13,0,15780,22511,0,0
7d8dddd0-3c5a-4e37-a8b6-1d7f20f68397,00647781-a770-4ba8-8259-48473ffe2a56,Charged Off,18392,Long Term,7310,1 year,Rent,44959,Debt Consolidation,569.48,15.4,NA,7,0,7085,11750,0,0
0779025a-3e68-4c58-bec2-8ca929207701,356e7d80-a879-4ee1-8023-e7b007dd9381,Charged Off,29496,Long Term,6850,3 years,Rent,76690,Debt Consolidation,1329.29,32.2,NA,10,0,27643,44801,0,0
30931f26-c9a5-43c4-a724-24f5b1fde039,84f232ce-7738-4b84-9834-84f1735856aa,Charged Off,34276,Long Term,6280,10+ years,Home Mortgage,141019,other,2632.36,19.9,14,19,0,20223,31747,0,0
18e58e4b-90fc-4248-99f6-02ed33e8310f,a415393e-38d1-4622-aea9-cd9b6addc3c2,Charged Off,18230,Short Term,7470,5 years,Rent,151920,Business Loan,778.59,26.4,NA,9,0,5663,29039,0,0
cead3a3f-1294-4558-9688-60b92eb2d369,aa26c11c-174a-4f04-938f-5c07fe83d8f3,Charged Off,19660,Long Term,7310,< 1 year,Rent,58980,Debt Consolidation,973.17,15.6,NA,5,0,23917,33829,0,0
18cf82cd-f0e6-452e-8429-2a1e70b056ec,a02200bf-f505-4223-aec7-2d1ae72c4426,Charged Off,24341,Long Term,7200,3 years,Rent,99392,Debt Consolidation,2360.55,17.1,NA,8,0,16604,21288,0,0
1e3cabdc-ce1c-4449-bbd2-282fea49ab00,22e2f182-2ef4-4ec2-ba19-e601ecf13118,Charged Off,21350,Long Term,7320,10+ years,Rent,58626,small_business,723.05,15,NA,4,0,4085,4886,0,0
286127c0-04c4-43f9-9bf5-2bc4d691bfa6,a6ce9c02-ea44-4e7b-a86d-7f10ad518930,Charged Off,8792,Short Term,7330,10+ years,Own Home,19982,Home Improvements,56.95,21.1,NA,7,0,650,40651,0,0
753d4c56-3e8b-4fa6-a920-c7df31f6777f,df542e57-2fe5-4e4e-85d1-0e85eebcd326,Charged Off,10958,Long Term,6820,9 years,Home Mortgage,53812,Debt Consolidation,995.52,15.3,NA,13,0,12336,21123,0,0
da355e98-760d-4ef5-86d8-27f2761b3714,15340172-1d01-4916-82b3-8710cfbbdd09,Charged Off,16447,Short Term,7230,4 years,Rent,73425,other,770.96,10.5,NA,7,0,9806,14592,0,0
c79fc580-e366-4030-a45e-0a47e9b9ddaa,3de0b312-386a-44de-96e1-ac748183f24f,Charged Off,28053,Long Term,6740,3 years,Rent,120228,Debt Consolidation,1442.74,13,6,13,0,20466,30455,0,0
928b7091-e2ec-4753-b9a6-8be019fd8484,a8bdab16-a6fe-442c-92c8-2af8e07e906b,Charged Off,3947,Short Term,7350,10+ years,Home Mortgage,88812,Home Improvements,1147.16,22.4,66,16,1,17324,21309,0,0
69c4ade6-0a2e-47db-aa83-8e620da3e33b,d23fdf84-8aac-4770-a578-67037112dc24,Charged Off,4880,Short Term,7430,8 years,Home Mortgage,43916,Debt Consolidation,472.09,13.7,NA,10,0,15119,25581,0,0
0072628f-e9f2-49e4-8d6d-78acfbff6de0,52c642aa-89cf-44b8-aaca-beec36f1e959,Charged Off,17214,Short Term,7170,9 years,Rent,39068,Debt Consolidation,319.38,11.1,NA,6,0,8469,13274,0,0
39c5b456-3720-4836-94a0-df7deb2d95b5,0d72cca2-e11b-447c-a6ac-87d0d0577ee5,Charged Off,8844,Short Term,7370,10+ years,Home Mortgage,47563,Debt Consolidation,1121.7,22,14,8,0,3534,4559,0,0
fe4fc24a-76b6-407c-a280-5d68d7611c68,21f25212-6e6c-4e05-9306-14c996cd173c,Charged Off,5927,Short Term,7180,5 years,Rent,20490,Debt Consolidation,589.08,14.8,NA,12,0,13206,28897,0,0
4aaeb135-4d5d-4b25-9fae-a666f6a327b3,43c64219-1cae-4fc7-8dc9-b4065eb1b435,Charged Off,15621,Short Term,7440,4 years,Rent,108369,Debt Consolidation,1164.97,15.8,38,15,0,13285,18351,0,0
47375d53-47d3-4838-8a74-7f25bbc09d20,15db7a80-40ab-4991-bbbf-8c22e70637bf,Charged Off,11748,Short Term,7350,2 years,Home Mortgage,63635,Debt Consolidation,662.86,16.9,NA,10,1,8501,11939,1,0
cc3bea33-6f75-443b-8b39-2a106bf64943,598a94a4-d4cb-40b3-a8c4-c9b3957c5dd4,Charged Off,19230,Long Term,6680,7 years,Rent,39316,Debt Consolidation,750.28,13,NA,11,0,19814,22775,0,0
337301f4-3c9e-44f4-a93d-2cc24ce17add,467861de-e207-4323-aa74-f144d5c31fe7,Charged Off,24406,Long Term,7130,1 year,Home Mortgage,90207,Debt Consolidation,1871.8,27.5,NA,9,0,33341,35281,0,0
5ab2775a-b624-441f-b634-466827d815bc,646467a5-8dc5-40da-b5eb-33d7a564c8f6,Charged Off,17309,Long Term,6510,10+ years,Own Home,49018,Debt Consolidation,347.21,37.1,39,8,0,11035,16645,0,0
b1e0ba40-f83e-4088-90c9-efd40c6b22df,99c24e96-b831-4014-9081-eb71e3ff3b83,Charged Off,19124,Long Term,7280,10+ years,Home Mortgage,116499,Debt Consolidation,3621.16,20.6,10,15,0,275876,276152,0,0
3ad035c0-3ddf-4e06-8d7b-9afee4cb9311,c20c41c4-6e25-467c-849a-6b69c855d2e2,Charged Off,9871,Long Term,6970,10+ years,Rent,39484,other,1138.45,15.1,NA,10,0,10879,16789,0,0
75116d12-a603-4147-9923-1ec6cc17c77c,3a0cc9a0-cddd-4073-99f7-83ba9af8590d,Charged Off,11029,Short Term,6950,4 years,Rent,34088,Debt Consolidation,542.58,9.6,NA,4,0,10573,11224,0,0
e19c4a29-bc8c-4258-b988-335072a85f15,df492bac-02fa-4bc0-813f-571c08571307,Charged Off,3125,Short Term,6410,< 1 year,Rent,52736,Debt Consolidation,123.05,9,NA,3,0,1640,1659,0,0
35f674a2-0a9b-4c8a-97c9-79405e7042d9,f1590615-d7ab-48e5-9ce6-4c4b77b082b6,Charged Off,11143,Long Term,6610,2 years,Home Mortgage,110671,Home Improvements,132.81,21.5,60,7,1,2739,6847,1,0
682d90da-8315-468c-af69-ba4a04a92589,4143f442-9590-4552-9eb3-baf1ca0326a9,Charged Off,16000,Long Term,7160,1 year,Home Mortgage,60000,Debt Consolidation,354,25.8,NA,22,1,9743,25912,1,0
d7492928-db89-435f-b484-df2f148e037d,b0216c66-ae0b-4e2a-8362-53782172af77,Charged Off,4225,Short Term,6720,2 years,Own Home,21988,Debt Consolidation,459.93,10.6,50,6,1,1279,3143,0,0
f63b4a25-3edd-40af-9766-73e62453e9ec,f17a85ba-031e-4c01-9c8f-4194f1d4b996,Charged Off,12388,Long Term,7260,8 years,Home Mortgage,39640,Debt Consolidation,558.26,14.8,NA,6,0,12666,14263,0,0
32713e78-8b7a-4a57-ae4f-978f1a8697e7,ce7f3e42-8e6b-4066-89b1-f5f9b4c2f6c7,Charged Off,15260,Short Term,7290,3 years,Rent,63480,Debt Consolidation,555.45,8,NA,11,0,18822,37345,0,0
508f84ee-8a4f-4ee2-8b5a-d3e89f659069,25e5864f-1825-46bf-99b3-c28ec3084185,Charged Off,14780,Long Term,7240,10+ years,Rent,73026,Debt Consolidation,1211.02,22,NA,8,0,13141,13603,0,0
2a0c1051-42f8-49c9-8eed-8325e68fb20e,c4922c9a-96d9-45d6-97cc-5b0630cdb108,Charged Off,7887,Short Term,7170,6 years,Rent,24648,Debt Consolidation,330.69,9.9,NA,8,0,11021,11826,0,0
ffca8b05-a268-4047-9070-cfde5c5ea802,f48f5a9b-9b04-45c4-9c3b-1c70a7c5b9ec,Charged Off,35018,Short Term,7160,10+ years,Home Mortgage,100050,Home Improvements,1525.76,12,NA,12,0,49924,69052,0,0
b7e6c598-5d6b-4f25-b95c-5093bf1ebdfd,8ae48399-5381-44bd-a884-dc95ddafa099,Charged Off,6876,Short Term,7360,< 1 year,Rent,17878,Debt Consolidation,263.7,25.3,6,7,1,7192,10319,1,0
6c421ac9-cf94-4426-b8c6-8c224f9fd1d9,2db2eba0-de1f-4eb7-b458-fde151af305e,Charged Off,17865,Long Term,6620,10+ years,Home Mortgage,75915,Debt Consolidation,613.65,23.6,NA,15,1,7161,17214,1,0
931c6765-06a5-4560-a326-e0f4d897657e,d1893251-cd96-4c34-a183-944232456ebf,Charged Off,5888,Short Term,7350,< 1 year,Rent,58878,Debt Consolidation,1010.74,14.9,12,14,6,5347,15499,1,5
49f0bc11-683f-4dc9-a10b-6a1137cb400d,024ff17e-6cdf-4f56-8af9-857acff5296f,Charged Off,24585,Short Term,7480,6 years,Home Mortgage,132759,Debt Consolidation,571.97,13.4,NA,7,0,6007,47296,0,0
ad372344-99f2-421e-9e70-a813994cbd73,3cc39272-574a-4f5e-92e1-6ae06446872e,Charged Off,31561,Short Term,6830,3 years,Rent,87683,Debt Consolidation,1826.73,10.3,NA,9,0,10732,15354,0,0
df7c2a48-6edf-4c98-95b8-8615715da14e,48cf367e-1520-4495-9f7c-23f0ec83c149,Charged Off,25360,Long Term,7370,10+ years,Home Mortgage,83759,Debt Consolidation,1214.51,20.3,NA,14,0,25752,48405,0,0
cd65a095-4342-4cc9-820a-4f5cd4cd5592,a71435b2-39dc-4c95-b934-a7b079f92202,Charged Off,23604,Long Term,7080,3 years,Rent,80647,Other,1102.18,12,1,14,0,1647,20853,0,0
911693f6-6236-4655-8b2f-8d47208738a5,8d247e6a-1963-47f3-bbee-7583378ae66f,Charged Off,10167,Short Term,7380,3 years,Own Home,42701,Debt Consolidation,761.51,25.8,NA,7,0,11283,15759,0,0
acc23fe6-65c1-4591-aede-6a522a69bcb3,37c93aee-8aa4-4fe0-8d04-f8ff14a5e73b,Charged Off,28594,Long Term,6320,8 years,Home Mortgage,65215,Debt Consolidation,733.66,13.3,31,6,0,6611,12042,0,0
d84b14f8-2d51-4a32-832f-e88a81a26e7f,316fec5e-ab78-48e8-bb62-12bdd50f4617,Charged Off,5501,Short Term,7490,n/a,Home Mortgage,45009,Business Loan,186.04,14.2,35,6,0,6959,11599,0,0
552955d8-0979-404f-8b24-66f0a54c3048,9465ca3c-9c90-4c57-9a0c-5b399c4515fc,Charged Off,2469,Short Term,7140,3 years,Rent,38516,Debt Consolidation,735.66,9.6,NA,9,0,3646,4148,0,0
